Gender,Age Group,Living Situation,Parent Education Level,Family Financial Status,Class,Department,Performance in English,Performance in Maths,Performance in Biology,Performance in Physics,Performance in Chemistry,Performance in Lit in English,Performance in Government,Performance in CRS,Performance in Commerce,Performance in Accounting,Performance in Economics,Study Hours per Week,Extra Tutoring,School Attendance,Experienced Bullying,Peer Pressure,Parents Attend Parent-Teacher Meeting,Confidence in Academic Ability,Access to Counseling,Motivation for Attending School,Last Exam Performance,Foundational Knowledge
Male,15 - 16,Both parents,Primary school,We are financially comfortable,SS1,Humanities,Excellent,Good,Nil,Nil,Nil,Unknown,Fair,Unknown,Nil,Nil,Nil,Less than 5 hours,Regularly,Occasionally,Never,Never,Regularly,Somewhat confident,No,To learn and gain knowledge,70% - 100%,Strong
Female,12 - 14,Both parents,Secondary school,We meet our needs but can't afford luxuries,SS3,Humanities,Good,Excellent,Nil,Nil,Nil,Excellent,Good,Unknown,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Frequently,Sometimes,Not confident,No,To learn and gain knowledge,60% - 69%,Average
Female,15 - 16,Guardian,Post-graduate education,We are financially comfortable,SS3,Humanities,Good,Excellent,Nil,Nil,Nil,Good,Unknown,Unknown,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Occasionally,Regularly,Somewhat confident,Yes,To prepare for a good career,Below 40%,Strong
Male,17 - 18,Both parents,Post-graduate education,We struggle to meet basic needs,SS3,Humanities,Good,Fair,Nil,Nil,Nil,Unknown,Unknown,Good,Nil,Nil,Nil,More than 10 hours,No,Every day,Frequently,Occasionally,Sometimes,Somewhat confident,Yes,To prepare for a good career,40% - 59%,Average
Male,15 - 16,Single parent,Secondary school,We struggle to meet basic needs,SS1,Humanities,Good,Fair,Nil,Nil,Nil,Good,Good,Unknown,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Occasionally,Never,Not confident,Yes,To prepare for a good career,70% - 100%,Strong
Female,17 - 18,Both parents,Higher Education,We can afford some luxuries,SS3,Science,Fair,Fair,Good,Good,Unknown,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Frequently,Regularly,Somewhat confident,Yes,To prepare for a good career,70% - 100%,Strong
Female,15 - 16,Both parents,Post-graduate education,We meet our needs but can't afford luxuries,SS3,Humanities,Good,Poor,Nil,Nil,Nil,Unknown,Unknown,Unknown,Nil,Nil,Nil,More than 15 hours,No,Every day,Frequently,Frequently,Regularly,Somewhat confident,Yes,To learn and gain knowledge,70% - 100%,Average
Female,15 - 16,Both parents,Higher Education,We can afford some luxuries,SS3,Humanities,Good,Good,Nil,Nil,Nil,Unknown,Unknown,Good,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Never,Occasionally,Sometimes,Somewhat confident,I'm not sure,To prepare for a good career,40% - 59%,Strong
Male,15 - 16,Both parents,Post-graduate education,We struggle to meet basic needs,SS3,Science,Fair,Excellent,Good,Unknown,Unknown,Nil,Nil,Nil,Nil,Nil,Nil,More than 10 hours,Occasionally,Most days,Occasionally,Occasionally,Never,Somewhat confident,No,To learn and gain knowledge,70% - 100%,Average
Female,15 - 16,Both parents,Secondary school,We struggle to meet basic needs,SS3,Humanities,Good,Good,Nil,Nil,Nil,Excellent,Unknown,Good,Nil,Nil,Nil,More than 10 hours,No,Every day,Never,Frequently,Regularly,Very confident,No,To meet family expectations,40% - 59%,Strong
Female,12 - 14,Both parents,Post-graduate education,We are financially comfortable,SS1,Science,Good,Excellent,Unknown,Excellent,Unknown,Nil,Nil,Nil,Nil,Nil,Nil,More than 15 hours,Regularly,Every day,Never,Frequently,Sometimes,Somewhat confident,Yes,To learn and gain knowledge,60% - 69%,Average
Male,15 - 16,Single parent,Post-graduate education,We meet our needs but can't afford luxuries,SS1,Science,Excellent,Good,Excellent,Unknown,Unknown,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,Regularly,Every day,Frequently,Occasionally,Sometimes,Somewhat confident,No,To learn and gain knowledge,70% - 100%,Strong
Female,15 - 16,Both parents,Higher Education,We are financially comfortable,SS1,Humanities,Fair,Poor,Nil,Nil,Nil,Fair,Unknown,Unknown,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Never,Sometimes,Somewhat confident,I'm not sure,To learn and gain knowledge,60% - 69%,Weak
Female,12 - 14,Both parents,Secondary school,We are financially comfortable,SS3,Science,Fair,Good,Good,Unknown,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Never,Never,Never,Very confident,No,To meet family expectations,70% - 100%,Average
Female,12 - 14,Guardian,Higher Education,We can afford some luxuries,SS1,Science,Excellent,Good,Unknown,Unknown,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Occasionally,Occasionally,Sometimes,Very confident,I'm not sure,To learn and gain knowledge,70% - 100%,Average
Male,15 - 16,Guardian,Post-graduate education,We struggle to meet basic needs,SS3,Humanities,Good,Fair,Nil,Nil,Nil,Excellent,Excellent,Fair,Nil,Nil,Nil,Less than 5 hours,No,Every day,Frequently,Never,Sometimes,Somewhat confident,I'm not sure,To learn and gain knowledge,70% - 100%,Strong
Female,15 - 16,Both parents,Higher Education,We are financially comfortable,SS2,Commercial,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Unknown,Unknown,Unknown,More than 10 hours,No,Every day,Occasionally,Frequently,Sometimes,Not confident,Yes,To prepare for a good career,70% - 100%,Strong
Male,15 - 16,Both parents,Post-graduate education,We meet our needs but can't afford luxuries,SS2,Humanities,Excellent,Excellent,Nil,Nil,Nil,Unknown,Unknown,Unknown,Nil,Nil,Nil,5 - 10 hours,No,Every day,Never,Never,Regularly,Very confident,No,To prepare for a good career,60% - 69%,Average
Female,15 - 16,Single parent,Primary school,We are financially comfortable,SS3,Humanities,Good,Fair,Nil,Nil,Nil,Good,Good,Unknown,Nil,Nil,Nil,5 - 10 hours,Regularly,Every day,Frequently,Never,Sometimes,Very confident,Yes,To prepare for a good career,70% - 100%,Weak
Male,15 - 16,Both parents,Secondary school,We are financially comfortable,SS3,Science,Excellent,Fair,Unknown,Excellent,Unknown,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Frequently,Never,Regularly,Not confident,I'm not sure,Others,70% - 100%,Weak
Male,15 - 16,Single parent,Higher Education,We are financially comfortable,SS3,Science,Excellent,Fair,Unknown,Excellent,Unknown,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Never,Never,Regularly,Somewhat confident,I'm not sure,To prepare for a good career,70% - 100%,Average
Female,15 - 16,Both parents,Higher Education,We can afford some luxuries,SS3,Science,Good,Good,Unknown,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Frequently,Frequently,Never,Not confident,I'm not sure,To learn and gain knowledge,70% - 100%,Strong
Female,15 - 16,Both parents,Secondary school,We are financially comfortable,SS3,Humanities,Good,Good,Nil,Nil,Nil,Unknown,Good,Unknown,Nil,Nil,Nil,More than 10 hours,Regularly,Every day,Occasionally,Occasionally,Regularly,Somewhat confident,No,To learn and gain knowledge,70% - 100%,Average
Female,15 - 16,Both parents,Post-graduate education,We can afford some luxuries,SS3,Science,Good,Good,Good,Good,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Never,Never,Regularly,Somewhat confident,Yes,To learn and gain knowledge,70% - 100%,Average
Female,15 - 16,Both parents,Post-graduate education,We struggle to meet basic needs,SS3,Science,Excellent,Excellent,Unknown,Unknown,Unknown,Nil,Nil,Nil,Nil,Nil,Nil,More than 10 hours,No,Every day,Occasionally,Never,Sometimes,Very confident,Yes,To learn and gain knowledge,60% - 69%,Strong
Male,12 - 14,Both parents,Post-graduate education,We are financially comfortable,SS3,Science,Fair,Good,Unknown,Excellent,Unknown,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,No,Every day,Never,Never,Never,Somewhat confident,Yes,To learn and gain knowledge,40% - 59%,Strong
Male,15 - 16,Both parents,Secondary school,We are financially comfortable,SS2,Humanities,Excellent,Fair,Nil,Nil,Nil,Good,Good,Unknown,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Frequently,Frequently,Regularly,Somewhat confident,No,To prepare for a good career,40% - 59%,Average
Female,15 - 16,Guardian,Secondary school,We struggle to meet basic needs,SS3,Humanities,Good,Good,Nil,Nil,Nil,Unknown,Unknown,Unknown,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Frequently,Sometimes,Very confident,Yes,To learn and gain knowledge,60% - 69%,Average
Male,15 - 16,Both parents,Post-graduate education,We struggle to meet basic needs,SS3,Humanities,Excellent,Fair,Nil,Nil,Nil,Unknown,Unknown,Unknown,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Occasionally,Regularly,Somewhat confident,No,To learn and gain knowledge,70% - 100%,Average
Female,15 - 16,Both parents,Post-graduate education,We are financially comfortable,SS3,Humanities,Good,Fair,Nil,Nil,Nil,Good,Good,Excellent,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Never,Never,Regularly,Somewhat confident,Yes,To learn and gain knowledge,60% - 69%,Average
Female,15 - 16,Both parents,Secondary school,We are financially comfortable,SS3,Humanities,Excellent,Fair,Nil,Nil,Nil,Unknown,Unknown,Good,Nil,Nil,Nil,More than 10 hours,Regularly,Every day,Never,Never,Sometimes,Somewhat confident,Yes,To learn and gain knowledge,70% - 100%,Strong
Male,15 - 16,Both parents,Post-graduate education,We are financially comfortable,SS3,Science,Excellent,Good,Unknown,Unknown,Unknown,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Never,Sometimes,Somewhat confident,Yes,To prepare for a good career,60% - 69%,Average
Male,15 - 16,Both parents,Higher Education,We struggle to meet basic needs,SS3,Science,Good,Fair,Excellent,Unknown,Unknown,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Never,Sometimes,Somewhat confident,Yes,To avoid being bored at home,60% - 69%,Strong
Female,15 - 16,Both parents,Secondary school,We can afford some luxuries,SS2,Science,Excellent,Good,Unknown,Poor,Unknown,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Frequently,Frequently,Never,Somewhat confident,Yes,To learn and gain knowledge,60% - 69%,Average
Female,12 - 14,Both parents,Post-graduate education,We are financially comfortable,SS3,Science,Excellent,Good,Unknown,Unknown,Unknown,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Frequently,Never,Never,Very confident,Yes,To learn and gain knowledge,60% - 69%,Average
Female,15 - 16,Both parents,Post-graduate education,We are financially comfortable,SS2,Science,Excellent,Fair,Good,Unknown,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Never,Never,Sometimes,Somewhat confident,No,To meet family expectations,70% - 100%,Average
Male,15 - 16,Both parents,Higher Education,We struggle to meet basic needs,SS1,Humanities,Good,Good,Nil,Nil,Nil,Unknown,Unknown,Unknown,Nil,Nil,Nil,More than 15 hours,No,Every day,Never,Never,Sometimes,Very confident,I'm not sure,To meet family expectations,70% - 100%,Strong
Female,15 - 16,Both parents,Secondary school,We can afford some luxuries,SS3,Humanities,Excellent,Good,Nil,Nil,Nil,Unknown,Unknown,Unknown,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Occasionally,Regularly,Somewhat confident,No,To prepare for a good career,60% - 69%,Weak
Male,17 - 18,Both parents,Post-graduate education,We can afford some luxuries,SS3,Science,Excellent,Good,Good,Fair,Unknown,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Most days,Never,Frequently,Sometimes,Somewhat confident,Yes,To learn and gain knowledge,70% - 100%,Average
Male,15 - 16,Both parents,Post-graduate education,We struggle to meet basic needs,SS1,Science,Good,Good,Good,Unknown,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Never,Occasionally,Regularly,Somewhat confident,Yes,To prepare for a good career,60% - 69%,Average
Female,15 - 16,Both parents,Secondary school,We are financially comfortable,SS3,Science,Good,Excellent,Unknown,Unknown,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Never,Never,Regularly,Very confident,No,To prepare for a good career,70% - 100%,Strong
Female,15 - 16,Both parents,Post-graduate education,We meet our needs but can't afford luxuries,SS3,Science,Good,Excellent,Good,Fair,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Never,Never,Regularly,Very confident,Yes,To prepare for a good career,Below 40%,Strong
Female,15 - 16,Both parents,Secondary school,We are financially comfortable,SS2,Science,Excellent,Excellent,Unknown,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Frequently,Occasionally,Regularly,Somewhat confident,No,To prepare for a good career,60% - 69%,Average
Female,12 - 14,Single parent,Secondary school,We meet our needs but can't afford luxuries,SS3,Science,Fair,Fair,Fair,Unknown,Unknown,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Frequently,Occasionally,Sometimes,Somewhat confident,I'm not sure,To prepare for a good career,Below 40%,Strong
Female,12 - 14,Both parents,Higher Education,We meet our needs but can't afford luxuries,SS3,Humanities,Good,Poor,Nil,Nil,Nil,Unknown,Unknown,Unknown,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Never,Never,Somewhat confident,Yes,To learn and gain knowledge,70% - 100%,Weak
Male,12 - 14,Both parents,Secondary school,We are financially comfortable,SS1,Humanities,Fair,Poor,Nil,Nil,Nil,Good,Unknown,Unknown,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Occasionally,Never,Regularly,Somewhat confident,I'm not sure,To learn and gain knowledge,70% - 100%,Strong
Female,15 - 16,Single parent,Higher Education,We can afford some luxuries,SS3,Science,Fair,Good,Good,Unknown,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Occasionally,Frequently,Sometimes,Very confident,No,To prepare for a good career,70% - 100%,Weak
Female,12 - 14,Both parents,Higher Education,We can afford some luxuries,SS3,Science,Good,Poor,Unknown,Fair,Unknown,Nil,Nil,Nil,Nil,Nil,Nil,More than 10 hours,Regularly,Every day,Never,Never,Regularly,Somewhat confident,No,To prepare for a good career,60% - 69%,Average
Female,15 - 16,Single parent,Post-graduate education,We can afford some luxuries,SS1,Humanities,Good,Excellent,Nil,Nil,Nil,Unknown,Fair,Unknown,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Never,Never,Not confident,Yes,To learn and gain knowledge,60% - 69%,Average
Female,12 - 14,Both parents,Post-graduate education,We meet our needs but can't afford luxuries,SS2,Science,Fair,Fair,Poor,Unknown,Unknown,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Frequently,Never,Never,Not confident,Yes,To learn and gain knowledge,60% - 69%,Weak
Female,15 - 16,Both parents,Post-graduate education,We meet our needs but can't afford luxuries,SS3,Humanities,Good,Good,Nil,Nil,Nil,Excellent,Unknown,Excellent,Nil,Nil,Nil,5 - 10 hours,No,Every day,Never,Never,Sometimes,Very confident,Yes,To learn and gain knowledge,70% - 100%,Strong
Male,17 - 18,Both parents,Secondary school,We struggle to meet basic needs,SS3,Humanities,Good,Excellent,Nil,Nil,Nil,Unknown,Fair,Unknown,Nil,Nil,Nil,5 - 10 hours,Occasionally,Every day,Never,Occasionally,Sometimes,Somewhat confident,Yes,To prepare for a good career,60% - 69%,Strong
Female,15 - 16,Both parents,Post-graduate education,We can afford some luxuries,SS3,Science,Excellent,Fair,Good,Excellent,Fair,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,No,Every day,Never,Occasionally,Regularly,Somewhat confident,Yes,To learn and gain knowledge,60% - 69%,Average
Female,15 - 16,Both parents,Higher Education,We can afford some luxuries,SS3,Science,Good,Fair,Unknown,Unknown,Fair,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,Regularly,Every day,Frequently,Occasionally,Regularly,Somewhat confident,I'm not sure,To prepare for a good career,70% - 100%,Strong
Male,17 - 18,Both parents,Secondary school,We can afford some luxuries,SS3,Science,Excellent,Good,Excellent,Unknown,Unknown,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Never,Never,Never,Somewhat confident,Yes,To learn and gain knowledge,70% - 100%,Strong
Female,12 - 14,Both parents,Post-graduate education,We meet our needs but can't afford luxuries,SS3,Humanities,Good,Fair,Nil,Nil,Nil,Unknown,Good,Excellent,Nil,Nil,Nil,5 - 10 hours,No,Every day,Frequently,Never,Never,Not confident,Yes,To prepare for a good career,60% - 69%,Weak
Female,15 - 16,Both parents,Higher Education,We meet our needs but can't afford luxuries,SS2,Humanities,Excellent,Good,Nil,Nil,Nil,Unknown,Good,Unknown,Nil,Nil,Nil,Less than 5 hours,No,Every day,Occasionally,Never,Never,Not confident,I'm not sure,To learn and gain knowledge,70% - 100%,Average
Female,15 - 16,Both parents,Post-graduate education,We are financially comfortable,SS3,Humanities,Fair,Fair,Nil,Nil,Nil,Unknown,Unknown,Good,Nil,Nil,Nil,5 - 10 hours,Regularly,Every day,Never,Never,Sometimes,Not confident,No,To prepare for a good career,70% - 100%,Average
Male,15 - 16,Both parents,Post-graduate education,We struggle to meet basic needs,SS2,Science,Excellent,Fair,Unknown,Excellent,Good,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,Occasionally,Every day,Never,Never,Regularly,Somewhat confident,Yes,To prepare for a good career,70% - 100%,Strong
Female,12 - 14,Both parents,Primary school,We meet our needs but can't afford luxuries,SS3,Science,Excellent,Fair,Unknown,Unknown,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Occasionally,Sometimes,Very confident,Yes,To prepare for a good career,40% - 59%,Strong
Female,12 - 14,Both parents,Higher Education,We are financially comfortable,SS3,Science,Excellent,Fair,Good,Unknown,Fair,Nil,Nil,Nil,Nil,Nil,Nil,More than 10 hours,No,Every day,Never,Never,Regularly,Very confident,Yes,To prepare for a good career,70% - 100%,Strong
Female,15 - 16,Both parents,Higher Education,We can afford some luxuries,SS3,Commercial,Good,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,Unknown,Unknown,Unknown,5 - 10 hours,Regularly,Every day,Never,Occasionally,Regularly,Somewhat confident,No,To meet family expectations,60% - 69%,Weak
Female,15 - 16,Both parents,Post-graduate education,We meet our needs but can't afford luxuries,SS3,Commercial,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Unknown,Unknown,Unknown,More than 15 hours,No,Every day,Never,Never,Sometimes,Very confident,I'm not sure,To prepare for a good career,60% - 69%,Average
Female,15 - 16,Both parents,Post-graduate education,We meet our needs but can't afford luxuries,SS2,Humanities,Excellent,Fair,Nil,Nil,Nil,Unknown,Unknown,Unknown,Nil,Nil,Nil,5 - 10 hours,Regularly,Every day,Frequently,Occasionally,Never,Not confident,Yes,To prepare for a good career,60% - 69%,Average
Female,15 - 16,Both parents,Post-graduate education,We meet our needs but can't afford luxuries,SS3,Science,Excellent,Excellent,Good,Fair,Poor,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Never,Regularly,Somewhat confident,I'm not sure,To prepare for a good career,60% - 69%,Weak
Male,12 - 14,Both parents,Secondary school,We meet our needs but can't afford luxuries,SS3,Humanities,Good,Good,Nil,Nil,Nil,Good,Unknown,Unknown,Nil,Nil,Nil,5 - 10 hours,No,Every day,Never,Never,Regularly,Somewhat confident,Yes,To prepare for a good career,60% - 69%,Average
Female,12 - 14,Both parents,Higher Education,We can afford some luxuries,SS3,Humanities,Good,Good,Nil,Nil,Nil,Unknown,Unknown,Excellent,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Never,Never,Sometimes,Somewhat confident,I'm not sure,To prepare for a good career,60% - 69%,Weak
Female,15 - 16,Both parents,Higher Education,We meet our needs but can't afford luxuries,SS3,Science,Good,Excellent,Good,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,No,Every day,Never,Frequently,Regularly,Somewhat confident,Yes,To prepare for a good career,70% - 100%,Average
Male,15 - 16,Both parents,Secondary school,We meet our needs but can't afford luxuries,SS3,Humanities,Fair,Excellent,Nil,Nil,Nil,Unknown,Excellent,Fair,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Frequently,Occasionally,Regularly,Somewhat confident,Yes,To avoid being bored at home,40% - 59%,Average
Male,15 - 16,Both parents,Higher Education,We meet our needs but can't afford luxuries,SS1,Humanities,Good,Fair,Nil,Nil,Nil,Unknown,Unknown,Unknown,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Never,Frequently,Regularly,Somewhat confident,I'm not sure,To prepare for a good career,60% - 69%,Average
Female,15 - 16,Both parents,Higher Education,We can afford some luxuries,SS2,Humanities,Excellent,Fair,Nil,Nil,Nil,Unknown,Unknown,Unknown,Nil,Nil,Nil,More than 10 hours,Regularly,Every day,Never,Occasionally,Sometimes,Somewhat confident,Yes,Others,60% - 69%,Average
Female,15 - 16,Both parents,Secondary school,We can afford some luxuries,SS3,Humanities,Good,Good,Nil,Nil,Nil,Excellent,Unknown,Unknown,Nil,Nil,Nil,More than 10 hours,Regularly,Every day,Frequently,Frequently,Regularly,Somewhat confident,Yes,To prepare for a good career,70% - 100%,Weak
Male,15 - 16,Both parents,Higher Education,We are financially comfortable,SS3,Science,Good,Fair,Good,Unknown,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Occasionally,Regularly,Somewhat confident,I'm not sure,To prepare for a good career,60% - 69%,Average
Male,15 - 16,Both parents,Secondary school,We are financially comfortable,SS1,Humanities,Good,Excellent,Nil,Nil,Nil,Unknown,Fair,Excellent,Nil,Nil,Nil,More than 10 hours,No,Every day,Frequently,Never,Regularly,Not confident,Yes,To learn and gain knowledge,70% - 100%,Strong
Male,15 - 16,Both parents,Higher Education,We struggle to meet basic needs,SS1,Science,Excellent,Fair,Unknown,Unknown,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Never,Never,Regularly,Somewhat confident,I'm not sure,To prepare for a good career,40% - 59%,Strong
Female,15 - 16,Both parents,Higher Education,We are financially comfortable,SS3,Commercial,Fair,Good,Nil,Nil,Nil,Nil,Nil,Nil,Unknown,Unknown,Unknown,More than 10 hours,Regularly,Every day,Frequently,Never,Never,Not confident,No,To prepare for a good career,60% - 69%,Weak
Female,15 - 16,Single parent,Post-graduate education,We are financially comfortable,SS3,Commercial,Good,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,Unknown,Unknown,Unknown,Less than 5 hours,Regularly,Every day,Never,Never,Regularly,Somewhat confident,Yes,To prepare for a good career,70% - 100%,Strong
Female,15 - 16,Both parents,Secondary school,We struggle to meet basic needs,SS3,Science,Fair,Excellent,Good,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,Regularly,Every day,Occasionally,Never,Sometimes,Somewhat confident,I'm not sure,To learn and gain knowledge,60% - 69%,Strong
Male,15 - 16,Both parents,Secondary school,We are financially comfortable,SS3,Science,Good,Good,Excellent,Excellent,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Never,Occasionally,Regularly,Somewhat confident,Yes,To learn and gain knowledge,60% - 69%,Average
Male,12 - 14,Both parents,Secondary school,We are financially comfortable,SS1,Science,Excellent,Fair,Unknown,Good,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,More than 10 hours,No,Every day,Never,Never,Never,Not confident,Yes,To learn and gain knowledge,60% - 69%,Average
Male,15 - 16,Both parents,Post-graduate education,We are financially comfortable,SS3,Science,Fair,Excellent,Good,Unknown,Good,Nil,Nil,Nil,Nil,Nil,Nil,More than 15 hours,No,Every day,Frequently,Occasionally,Sometimes,Somewhat confident,Yes,To meet family expectations,60% - 69%,Strong
Female,12 - 14,Both parents,Higher Education,We meet our needs but can't afford luxuries,SS1,Science,Good,Fair,Unknown,Excellent,Unknown,Nil,Nil,Nil,Nil,Nil,Nil,More than 15 hours,Occasionally,Most days,Frequently,Never,Sometimes,Very confident,No,To learn and gain knowledge,60% - 69%,Average
Male,12 - 14,Both parents,Higher Education,We are financially comfortable,SS3,Science,Excellent,Fair,Unknown,Fair,Unknown,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Occasionally,Occasionally,Never,Sometimes,Somewhat confident,Yes,To learn and gain knowledge,70% - 100%,Strong
Female,15 - 16,Single parent,Post-graduate education,We are financially comfortable,SS2,Science,Excellent,Good,Fair,Good,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Occasionally,Most days,Occasionally,Occasionally,Never,Somewhat confident,I'm not sure,To avoid being bored at home,60% - 69%,Weak
Female,15 - 16,Both parents,Post-graduate education,We are financially comfortable,SS3,Commercial,Excellent,Good,Nil,Nil,Nil,Nil,Nil,Nil,Unknown,Unknown,Unknown,5 - 10 hours,Regularly,Every day,Never,Never,Sometimes,Very confident,I'm not sure,To learn and gain knowledge,60% - 69%,Average
Female,15 - 16,Both parents,Higher Education,We are financially comfortable,SS3,Science,Excellent,Excellent,Excellent,Unknown,Unknown,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Never,Occasionally,Regularly,Somewhat confident,Yes,To learn and gain knowledge,70% - 100%,Average
Female,15 - 16,Single parent,Secondary school,We struggle to meet basic needs,SS2,Science,Fair,Fair,Unknown,Unknown,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,No,Every day,Never,Occasionally,Never,Not confident,Yes,To learn and gain knowledge,60% - 69%,Strong
Male,12 - 14,Both parents,No formal education,We struggle to meet basic needs,SS1,Science,Good,Fair,Good,Unknown,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Most days,Never,Never,Sometimes,Somewhat confident,Yes,To learn and gain knowledge,60% - 69%,Average
Female,17 - 18,Both parents,Secondary school,We are financially comfortable,SS1,Humanities,Good,Excellent,Nil,Nil,Nil,Fair,Unknown,Unknown,Nil,Nil,Nil,More than 10 hours,No,Every day,Occasionally,Occasionally,Sometimes,Somewhat confident,I'm not sure,To prepare for a good career,70% - 100%,Strong
Female,15 - 16,Both parents,No formal education,We can afford some luxuries,SS1,Science,Good,Good,Excellent,Unknown,Fair,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,No,Every day,Frequently,Never,Sometimes,Somewhat confident,Yes,To learn and gain knowledge,60% - 69%,Weak
Female,15 - 16,Both parents,Higher Education,We struggle to meet basic needs,SS2,Science,Good,Good,Good,Unknown,Unknown,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Frequently,Occasionally,Regularly,Somewhat confident,No,To prepare for a good career,70% - 100%,Strong
Female,15 - 16,Both parents,Secondary school,We meet our needs but can't afford luxuries,SS3,Humanities,Excellent,Good,Nil,Nil,Nil,Unknown,Good,Unknown,Nil,Nil,Nil,More than 10 hours,Regularly,Every day,Never,Never,Sometimes,Very confident,Yes,To prepare for a good career,70% - 100%,Strong
Male,12 - 14,Single parent,Secondary school,We are financially comfortable,SS3,Science,Good,Good,Unknown,Poor,Fair,Nil,Nil,Nil,Nil,Nil,Nil,More than 10 hours,Regularly,Every day,Frequently,Occasionally,Regularly,Very confident,No,To prepare for a good career,70% - 100%,Weak
Female,12 - 14,Guardian,Higher Education,We struggle to meet basic needs,SS3,Science,Good,Good,Excellent,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Occasionally,Occasionally,Sometimes,Very confident,Yes,To prepare for a good career,70% - 100%,Weak
